Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Tempering	:	Str	Matrix		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Tempering	:	Str	Strengthening Dispersion		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Tempering	:	Str	Austenite Dispersion		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Solution Treatment	:	Str	Matrix		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Solution Treatment	:	Str	Grain Refining		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Hot Working	:	Str	Grain Refining		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	solidification	:	Str	Grain Refining		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Deoxidation	:	Str	Grain Refining		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Deoxidation	:	Str	Grain Boundary Chemistry		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Refining	:	Str	Grain Boundary Chemistry		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Refining	:	Prc	Deoxidation		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Deoxidation	:	Prc	solidification		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	solidification	:	Prc	Hot Working		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Hot Working	:	Prc	Solution Treatment		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prc	Solution Treatment	:	Prc	Tempering		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Str	Matrix	Co : SRO Recovery Resistance	:	Str	Strengthening Dispersion	(Mo, cr, W, V, Fe)2Cx
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Str	Grain Boundary Chemistry	Impurity Gettering	:	Str	Grain Refining	Microvoid Nucleation Resistance
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Strength	:	Str	Strengthening Dispersion	(Mo, cr, W, V, Fe)2Cx	
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Strength	:	Str	Strengthening Dispersion	(Nb, V)Cx	
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Toughness	:	Str	Matrix	Lath Martensite	
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Toughness	:	Str	Matrix	Ni : Cleavage Resistance	
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Toughness	:	Str	Strengthening Dispersion	Avoid Fe3C, M6C, M23C6	
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Toughness	:	Str	Grain Refining		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Toughness	:	Str	Austenite Dispersion		
Cybermaterials: materials by design and accelerated insertion of materials : p8	g	Prp	Hydrogen Resistance	:	Str	Grain Boundary Chemistry		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Melt Refining , Deoxidation	:	Prc	Atomization , Powder Solidification		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Atomization , Powder Solidification	:	Prc	Consolidation , HIP		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Consolidation , HIP	:	Prc	Hot Forging		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Hot Forging	:	Prc	Graded Recrystallization		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Graded Recrystallization	:	Prc	Solution Treatment		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Hot Forging	:	Prc	Solution Treatment		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Solution Treatment	:	Prc	Cooling		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Cooling	:	Prc	Aging		
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Aging	:	Str	Rim	gamma Dispersion	
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Aging	:	Str	Web	gamma Dispersion	
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Aging	:	Str	Bore	gamma Dispersion	
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Solution Treatment	:	Str	Bore	Grain Structure	
Cybermaterials: materials by design and accelerated insertion of materials : p11	g	Prc	Graded Recrystallization	:	Str	Rim	gamma Structure	
